"V01_Row_ID","Chapter","Zone","Building","Area","Feature","Subfeature","Semantic_Object_or_Group","Evidence_Class","Evidence_Source","Physical_Location","Functional_Role","Must_Show","Recommended_Shot_Type","Recommended_Camera_Height","Recommended_View_Direction","Recommended_Duration_Sec","Needs_Multiple_Angles","Needs_World_Label","Needs_Overlay","Needs_Animation","Associated_Features","Coverage_Criteria","Potential_Occlusion","Technical_Risk","Planning_State","Notes","V02_Status","Evidence_Closure","Final_Evidence_Source","Final_Shot_IDs","Final_Coverage_Duration","Coverage_Confidence"
"CH01-01","CH01 — CAMPUS ESTABLISHMENT","CAMPUS","Campus masterplan","Aerial orientation","Campus establishment","Full campus and major zones","PRES_01_CAMPUS_HERO; NAV_TARGET_CAMPUS_AERIAL","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus-wide","Orient viewer before detail","Show campus extent, major zones, roads, landscape, production mass and people campus","restrained aerial establish","high aerial","southwest to northeast","10","Y","N","chapter title / zone guide","N","Production_Hall; POVU Plaza; Admin/R&D; RM/FG warehouses","Viewer can name the campus structure before the tour enters it","Roof or trees may hide edges","Aerial scale and label density","REQUIRED","Opening anchor; do not rush.","MERGED_ANCHOR","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S001","18","HIGH"
"CH01-02","CH01 — CAMPUS ESTABLISHMENT","CAMPUS","Production Hall","Exterior shell","Production massing","Roof, floor and wall separation","Production_Hall; PRODUCTION_ROOF; PRODUCTION_FLOOR; PRODUCTION_WALL_EAST/NORTH/SOUTH/WEST","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Central/east campus","Explain factory volume and later sectional reveal","Show the production shell as a legible building, not a background block","slow crane toward façade","medium aerial","southwest toward north façade","12","Y","N","building name / zone tint","N","Glass Deck; RM warehouse; FG warehouse","Roof/wall/floor relationship is readable","Large shell can flatten in neutral light","Section reveal must remain architectural","REQUIRED","Use semantic separation only as an explanatory reveal.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S002","12","HIGH"
"CH01-03","CH01 — CAMPUS ESTABLISHMENT","CAMPUS","Campus masterplan","Movement network","Orientation network","Roads, logistics spine and pedestrian links","NAV_TARGET_MAIN_ARRIVAL; NAV_TARGET_POVU_PLAZA; NAV_TARGET_PRODUCTION_HALL; AMR_SPINE","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Campus-wide","Show how visitors, employees and goods relate","Show road hierarchy, pedestrian spine, crossings and production transition","slow map-like aerial drift","high aerial","south arrival to production east","12","Y","N","route line / restrained arrows","N","Smart Totems; arrival; logistics","Viewer retains north/south and visitor/service separation","Vegetation repeats across the frame","Avoid map graphics obscuring geometry","REQUIRED","Spatial orientation shot.","MERGED_INTO","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S001","18","HIGH"
"CH01-04","CH01 — CAMPUS ESTABLISHMENT","CAMPUS","Public realm","Landscape network","Landscape framework","Green buffers, plaza, trees and social edges","BENCH_PLANTER*; CANOPY_BRANCH*; TREE_TRUNK*; PROD_PLANTER*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Plaza and campus public realm","Make landscape a campus system","Show grouped planting and green buffers at campus scale","gentle arc and hold","medium aerial","west public realm toward east","10","Y","N","landscape legend","N","POVU Plaza; Organic Canopy; employee garden","Grouped landscape destinations are visible and contextual","Trees may mask building entries","Avoid counting individual trees as destinations","REQUIRED","Vegetation groups, not every tree.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S003","10","HIGH"
"CH01-05","CH01 — CAMPUS ESTABLISHMENT","CAMPUS","Wayfinding","Navigation layer","Smart wayfinding","Five documented placements","SMART_TOTEM_VIP_*; SMART_TOTEM_CAMPUS_01..04_*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","VIP approach plus four campus decision points","Demonstrate visitor legibility","Show flagship and campus totems in distinct context shots or overlay map","slow aerial to walking-height match cut","mixed","plaza to production transition","10","Y","Y","totem IDs / route overlay","N","VIP entrance; Glass Deck; Production Hall; Hands of Growth","Each placement is distinguishable and functionally located","Totems are small at campus scale","Use one label at a time","REQUIRED","Five placements: one VIP flagship, four campus.","KEEP","V01 modeled evidence retained; V02 source register adds the available project-document references where relevant.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","M06V02-S004","10","HIGH"
"CH02-01","CH02 — ARRIVAL + SUSTAINABILITY","ARRIVAL","Arrival edge","Site entry","Security and arrival","Gatehouse / security","No dedicated security/gatehouse semantic object found","D","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Arrival road area; no named gatehouse in REV004.1 manifest","State what is and is not modeled","Show modeled arrival road and mark security building as unconfirmed","slow road approach with hold","vehicle-height","south road toward plaza","12","N","N","UNCERTAIN callout","N","Main arrival; pedestrian spine","Arrival route is clear without claiming a missing gatehouse","Massing may not distinguish gatehouse","Do not fabricate security geometry","UNCERTAIN","Owner/document review needed before final production.","KEEP_WITH_CAVEAT","HSE access/fire documents close the planned emergency-gate concept; REV004.1 has arrival-road context but no dedicated gatehouse object. Keep as explicit DOCUMENTED_NOT_MODELED evidence card.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 4,12,16,19-24","M06V02-S005","12","CAVEATED"
"CH02-02","CH02 — ARRIVAL + SUSTAINABILITY","SUSTAINABILITY","Solar field","PV installation 01","Ground/field PV","SOLAR_ARRAY group, 84 panel surfaces","SOLAR_ARRAY through SOLAR_ARRAY083; SOLAR_POST*; SOLAR_INVERTER","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/east campus, approximately x27–110, y94.5–121.5, z2.2–3.0","Primary renewable generation field","Show full array extent, row repetition, support logic and inverter relationship","high establish then slow descending inspect","high to medium","west edge toward east/northeast","18","Y","Y","2.5 MW SOLAR PV / location 01","N","SOLAR_INVERTER; utilities; campus edge","Array reads as a distinct installation, not scattered blue tiles","Aerial perspective can merge rows","Need dedicated hold and readable scale","REQUIRED","84 modeled panel surfaces; do not claim 4,200 modeled panels.","MERGED_ANCHOR","HSE and REV004.1 model evidence agree on the PV field/canopy narrative; exact installed panel count/capacity is not inferred from proxy surfaces.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 2,14-16","M06V02-S006","30","HIGH"
"CH02-03","CH02 — ARRIVAL + SUSTAINABILITY","SUSTAINABILITY","Solar field","PV installation 02","Low-mounted panel field","SolarPanel group, 48 panel surfaces","SolarPanel through SolarPanel047","B","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","North/east campus, approximately x44–122, y86.8–109.2, z2.05–2.75","Additional modeled PV field; exact mounting relationship needs confirmation","Show this as a separate installation from SOLAR_ARRAY","oblique medium shot with slow lateral","medium aerial","southwest to northeast","18","Y","Y","PV location 02","N","SOLAR_INVERTER; north/east campus","Viewer can distinguish it from installation 01 by position and naming","No building association is explicit in manifest","Mounting type remains modeled-only","REQUIRED","Class B: clearly modeled, documentation absent.","MERGED_INTO","HSE confirms solar-field intent; exact SolarPanel field remains model-confirmed but installation/mounting relationship is not independently named.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 2,14-16","M06V02-S006","30","MEDIUM"
"CH02-04","CH02 — ARRIVAL + SUSTAINABILITY","SUSTAINABILITY","Solar carport","PV installation 03","Canopy-mounted PV","SOLAR_CARPORT_PANEL group, 11 panels and 11 posts","SOLAR_CARPORT_PANEL*; SOLAR_CARPORT_POST*","A","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","South campus edge, approximately x-14.5–94.5, y-92–-86, z5.28–6.32","Shade/canopy energy infrastructure","Show canopy structure, then lower to ground level and inspect what exists beneath; no seating claim without a named object","context → descend → under-canopy hold","eye level after aerial","along carport row","20","Y","Y","SOLAR CANOPY / location 03","N","Vehicle/pedestrian edge; landscaping if visible","Under-canopy relationship is explicit","No named seating/rest object confirmed","Must not imply parking or seating unless visible","REQUIRED","11 panel surfaces; 11 supports.","EXTEND_KEEP","HSE and REV004.1 model evidence agree on the PV field/canopy narrative; exact installed panel count/capacity is not inferred from proxy surfaces.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 2,14-16","M06V02-S007","22","HIGH"
"CH02-05","CH02 — ARRIVAL + SUSTAINABILITY","SUSTAINABILITY","Solar infrastructure","Energy interface","Inverter and support cluster","SOLAR_INVERTER plus orphan support cluster","SOLAR_INVERTER; SOLAR_POST*","B","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest","Inverter near x40,y91; 14 support posts at south utility/social edge","Connect PV generation to campus utility story","Show inverter in context and flag unpaired support posts for confirmation","slow detail insert from solar overview","medium","array edge toward inverter","18","Y","Y","SOLAR INVERTER","N","Utility House; solar fields","Energy infrastructure relationship is legible","Support posts have no explicit panel partner in manifest","Requires owner confirmation before naming support cluster","REQUIRED","Support-only cluster is not counted as a fourth PV installation.","KEEP","Inverter is modeled; 14 support-only posts are separately flagged as unpaired and are not counted as a fourth PV installation.","REV004.1 manifest; M03/M04/M05 logs; V03 clean-master manifest; HSE masterplan V2 slides 2,14-16","M06V02-S008","18","MEDIUM"
